Open,Low,High,Close,Volume,year,Date
12.3271,11.7,12.3686,11.9714,44225700,2007,2007-01-03
12.0071,11.9743,12.2786,12.2371,30259300,2007,2007-01-04
12.2529,12.0571,12.3143,12.15,29812200,2007,2007-01-05
12.28,12.1829,12.3614,12.21,28468100,2007,2007-01-08
12.35,12.1643,13.2829,13.2243,119617800,2007,2007-01-09
13.5357,13.35,13.9714,13.8571,105460000,2007,2007-01-10
13.7057,13.5857,13.8257,13.6857,51437600,2007,2007-01-11
13.5129,13.3186,13.58,13.5171,46881800,2007,2007-01-12
13.6686,13.6357,13.8929,13.8714,44431300,2007,2007-01-16
13.9371,13.5457,13.9429,13.5643,58795000,2007,2007-01-17
13.1571,12.7214,13.1586,12.7243,84450200,2007,2007-01-18
12.6614,12.5886,12.8071,12.6429,48731200,2007,2007-01-19
12.7343,12.2357,12.7371,12.3986,51929500,2007,2007-01-22
12.2471,12.2157,12.5014,12.2429,43122300,2007,2007-01-23
12.3829,12.2971,12.45,12.3857,33136200,2007,2007-01-24
12.4444,12.29,12.6429,12.3214,32356200,2007,2007-01-25
12.445,12.1414,12.4814,12.1971,35245500,2007,2007-01-26
12.3286,12.2186,12.3786,12.2771,32202300,2007,2007-01-29
12.3471,12.1786,12.3557,12.2214,20641800,2007,2007-01-30
12.1229,12.05,12.2857,12.2471,30573900,2007,2007-01-31
12.3186,12.1057,12.3243,12.1057,23726500,2007,2007-02-01
12.0171,11.9571,12.1786,12.1071,22197500,2007,2007-02-02
12.0429,11.9914,12.1757,11.9914,20673300,2007,2007-02-05
12.0643,11.8371,12.0671,12.0214,30871200,2007,2007-02-06
12.0686,11.9357,12.34,12.3071,38100900,2007,2007-02-07
12.2043,12.2014,12.3586,12.3114,24251100,2007,2007-02-08
12.2686,11.8871,12.3143,11.8957,30733600,2007,2007-02-09
12.0614,11.9471,12.1686,12.1257,25859700,2007,2007-02-12
12.1657,12.0429,12.1843,12.1,20749500,2007,2007-02-13
12.09,12.0814,12.2343,12.1857,18142200,2007,2007-02-14
12.2057,12.1114,12.2314,12.1729,12987900,2007,2007-02-15
12.1786,12.0943,12.2014,12.1186,14281000,2007,2007-02-16
12.0929,12.0229,12.3086,12.2714,22060800,2007,2007-02-20
12.2829,12.28,12.7843,12.7429,41261200,2007,2007-02-21
12.9714,12.6471,12.9729,12.7871,29936600,2007,2007-02-22
12.7371,12.6929,12.9057,12.7243,18496200,2007,2007-02-23
12.8343,12.5157,12.8571,12.6643,21994600,2007,2007-02-26
12.3286,11.9157,12.44,11.99,40921900,2007,2007-02-27
11.8571,11.8571,12.2286,12.0871,32838400,2007,2007-02-28
12.0043,11.9643,12.6157,12.4371,50554600,2007,2007-03-01
12.3957,12.1729,12.5057,12.2014,30714300,2007,2007-03-02
12.27,12.2514,12.6643,12.3314,29960700,2007,2007-03-05
12.5429,12.4857,12.6157,12.5986,25828100,2007,2007-03-06
12.5786,12.4929,12.71,12.5314,22367300,2007,2007-03-07
12.6557,12.4943,12.6743,12.5714,18250400,2007,2007-03-08
12.6857,12.4857,12.6929,12.5671,16137000,2007,2007-03-09
12.5814,12.57,12.8557,12.8386,26050300,2007,2007-03-12
12.7729,12.6286,12.9429,12.6286,30996100,2007,2007-03-13
12.6571,12.56,12.8571,12.8571,28449500,2007,2007-03-14
12.8514,12.7586,12.9086,12.7957,19982100,2007,2007-03-15
12.7911,12.76,12.8557,12.7986,20418000,2007,2007-03-16
12.8914,12.7986,13.0786,13.0186,25462900,2007,2007-03-19
13.05,13.0086,13.12,13.0686,17461300,2007,2007-03-20
13.1414,13.0929,13.4286,13.41,24532000,2007,2007-03-21
13.39,13.2857,13.48,13.4229,20053300,2007,2007-03-22
13.3357,13.3286,13.4386,13.36,16103000,2007,2007-03-23
13.4271,13.3286,13.7,13.6929,30892400,2007,2007-03-26
13.6729,13.5714,13.8329,13.6371,33287600,2007,2007-03-27
13.5543,13.3071,13.6286,13.32,33654900,2007,2007-03-28
13.4557,13.1757,13.4557,13.3929,25918700,2007,2007-03-29
13.4686,13.25,13.5257,13.2729,21448500,2007,2007-03-30
13.4486,13.2886,13.4643,13.3786,17928300,2007,2007-04-02
13.4486,13.3943,13.6043,13.5,20854800,2007,2007-04-03
13.5629,13.4471,13.5914,13.4671,17028000,2007,2007-04-04
13.4457,13.36,13.5257,13.5257,12697000,2007,2007-04-05
13.6014,13.2914,13.6143,13.3786,14762200,2007,2007-04-09
13.3814,13.3443,13.4654,13.4643,12588100,2007,2007-04-10
13.4143,13.19,13.4214,13.2271,19607800,2007,2007-04-11
